"1","Polimero -Tipo -2","Prov - Industrial -6231","null"
"2","Polimero -Tipo -3","Prov - Industrial -8571","null"
"3","Polimero -Tipo -4","Prov - Industrial -3490","null"
"4","Polimero -Tipo -5","Prov - Industrial -2666","null"
"5","Polimero -Tipo -1","Prov - Industrial -981","null"
"6","Polimero -Tipo -2","Prov - Industrial -113","null"
"7","Polimero -Tipo -3","Prov - Industrial -2665","null"
"8","Polimero -Tipo -4","Prov - Industrial -1275","null"
"9","Polimero -Tipo -5","Prov - Industrial -4316","null"
"10","Polimero -Tipo -1","Prov - Industrial -395","null"
"11","Polimero -Tipo -2","Prov - Industrial -4135","null"
"12","Polimero -Tipo -3","Prov - Industrial -4724","null"
"13","Polimero -Tipo -4","Prov - Industrial -806","null"
"14","Polimero -Tipo -5","Prov - Industrial -7227","null"
"15","Polimero -Tipo -1","Prov - Industrial -1977","null"
"16","Polimero -Tipo -2","Prov - Industrial -2899","null"
"17","Polimero -Tipo -3","Prov - Industrial -6078","null"
"18","Polimero -Tipo -4","Prov - Industrial -9960","null"
"19","Polimero -Tipo -5","Prov - Industrial -4355","null"
"20","Polimero -Tipo -1","Prov - Industrial -8743","null"
"21","Polimero -Tipo -2","Prov - Industrial -5268","null"
"22","Polimero -Tipo -3","Prov - Industrial -8190","null"
"23","Polimero -Tipo -4","Prov - Industrial -3667","null"
"24","Polimero -Tipo -5","Prov - Industrial -8977","null"
"25","Polimero -Tipo -1","Prov - Industrial -5902","null"
"26","Polimero -Tipo -2","Prov - Industrial -1071","null"
"27","Polimero -Tipo -3","Prov - Industrial -2496","null"
"28","Polimero -Tipo -4","Prov - Industrial -2028","null"
"29","Polimero -Tipo -5","Prov - Industrial -4270","null"
"30","Polimero -Tipo -1","Prov - Industrial -8363","null"
"31","Polimero -Tipo -2","Prov - Industrial -1240","null"
"32","Polimero -Tipo -3","Prov - Industrial -3593","null"
"33","Polimero -Tipo -4","Prov - Industrial -5870","null"
"34","Polimero -Tipo -5","Prov - Industrial -9853","null"
"35","Polimero -Tipo -1","Prov - Industrial -7257","null"
"36","Polimero -Tipo -2","Prov - Industrial -5809","null"
"37","Polimero -Tipo -3","Prov - Industrial -1279","null"
"38","Polimero -Tipo -4","Prov - Industrial -6364","null"
"39","Polimero -Tipo -5","Prov - Industrial -7178","null"
"40","Polimero -Tipo -1","Prov - Industrial -4596","null"
"41","Polimero -Tipo -2","Prov - Industrial -6275","null"
"42","Polimero -Tipo -3","Prov - Industrial -721","null"
"43","Polimero -Tipo -4","Prov - Industrial -3909","null"
"44","Polimero -Tipo -5","Prov - Industrial -3816","null"
"45","Polimero -Tipo -1","Prov - Industrial -394","null"
"46","Polimero -Tipo -2","Prov - Industrial -4819","null"
"47","Polimero -Tipo -3","Prov - Industrial -3431","null"
"48","Polimero -Tipo -4","Prov - Industrial -6016","null"
"49","Polimero -Tipo -5","Prov - Industrial -5618","null"
"50","Polimero -Tipo -1","Prov - Industrial -8767","null"
"51","Polimero -Tipo -2","Prov - Industrial -7658","null"
"52","Polimero -Tipo -3","Prov - Industrial -3011","null"
"53","Polimero -Tipo -4","Prov - Industrial -8175","null"
"54","Polimero -Tipo -5","Prov - Industrial -6419","null"
"55","Polimero -Tipo -1","Prov - Industrial -5582","null"
"56","Polimero -Tipo -2","Prov - Industrial -9154","null"
"57","Polimero -Tipo -3","Prov - Industrial -724","null"
"58","Polimero -Tipo -4","Prov - Industrial -2399","null"
"59","Polimero -Tipo -5","Prov - Industrial -7683","null"
"60","Polimero -Tipo -1","Prov - Industrial -1171","null"
"61","Polimero -Tipo -2","Prov - Industrial -3361","null"
"62","Polimero -Tipo -3","Prov - Industrial -4853","null"
"63","Polimero -Tipo -4","Prov - Industrial -1997","null"
"64","Polimero -Tipo -5","Prov - Industrial -43","null"
"65","Polimero -Tipo -1","Prov - Industrial -2883","null"
"66","Polimero -Tipo -2","Prov - Industrial -9657","null"
"67","Polimero -Tipo -3","Prov - Industrial -4984","null"
"68","Polimero -Tipo -4","Prov - Industrial -7064","null"
"69","Polimero -Tipo -5","Prov - Industrial -4862","null"
"70","Polimero -Tipo -1","Prov - Industrial -7974","null"
"71","Polimero -Tipo -2","Prov - Industrial -4868","null"
"72","Polimero -Tipo -3","Prov - Industrial -8066","null"
"73","Polimero -Tipo -4","Prov - Industrial -3649","null"
"74","Polimero -Tipo -5","Prov - Industrial -1989","null"
"75","Polimero -Tipo -1","Prov - Industrial -5280","null"
"76","Polimero -Tipo -2","Prov - Industrial -3772","null"
"77","Polimero -Tipo -3","Prov - Industrial -8397","null"
"78","Polimero -Tipo -4","Prov - Industrial -5405","null"
"79","Polimero -Tipo -5","Prov - Industrial -7496","null"
"80","Polimero -Tipo -1","Prov - Industrial -3770","null"
"81","Polimero -Tipo -2","Prov - Industrial -8302","null"
"82","Polimero -Tipo -3","Prov - Industrial -3088","null"
"83","Polimero -Tipo -4","Prov - Industrial -2852","null"
"84","Polimero -Tipo -5","Prov - Industrial -8300","null"
"85","Polimero -Tipo -1","Prov - Industrial -8908","null"
"86","Polimero -Tipo -2","Prov - Industrial -8828","null"
"87","Polimero -Tipo -3","Prov - Industrial -3303","null"
"88","Polimero -Tipo -4","Prov - Industrial -7232","null"
"89","Polimero -Tipo -5","Prov - Industrial -3187","null"
"90","Polimero -Tipo -1","Prov - Industrial -5347","null"
"91","Polimero -Tipo -2","Prov - Industrial -7033","null"
"92","Polimero -Tipo -3","Prov - Industrial -4158","null"
"93","Polimero -Tipo -4","Prov - Industrial -4185","null"
"94","Polimero -Tipo -5","Prov - Industrial -6214","null"
"95","Polimero -Tipo -1","Prov - Industrial -3253","null"
"96","Polimero -Tipo -2","Prov - Industrial -5497","null"
"97","Polimero -Tipo -3","Prov - Industrial -4895","null"
"98","Polimero -Tipo -4","Prov - Industrial -5800","null"
"99","Polimero -Tipo -5","Prov - Industrial -8181","null"
"100","Polimero -Tipo -1","Prov - Industrial -9453","null"
"101","Polimero -Tipo -2","Prov - Industrial -4034","null"
"102","Polimero -Tipo -3","Prov - Industrial -3096","null"
"103","Polimero -Tipo -4","Prov - Industrial -560","null"
"104","Polimero -Tipo -5","Prov - Industrial -9552","null"
"105","Polimero -Tipo -1","Prov - Industrial -9787","null"
"106","Polimero -Tipo -2","Prov - Industrial -5704","null"
"107","Polimero -Tipo -3","Prov - Industrial -369","null"
"108","Polimero -Tipo -4","Prov - Industrial -3616","null"
"109","Polimero -Tipo -5","Prov - Industrial -3513","null"
"110","Polimero -Tipo -1","Prov - Industrial -3886","null"
"111","Polimero -Tipo -2","Prov - Industrial -2551","null"
"112","Polimero -Tipo -3","Prov - Industrial -2078","null"
"113","Polimero -Tipo -4","Prov - Industrial -2949","null"
"114","Polimero -Tipo -5","Prov - Industrial -1524","null"
"115","Polimero -Tipo -1","Prov - Industrial -7764","null"
"116","Polimero -Tipo -2","Prov - Industrial -163","null"
"117","Polimero -Tipo -3","Prov - Industrial -220","null"
"118","Polimero -Tipo -4","Prov - Industrial -9284","null"
"119","Polimero -Tipo -5","Prov - Industrial -4230","null"
"120","Polimero -Tipo -1","Prov - Industrial -1975","null"
"121","Polimero -Tipo -2","Prov - Industrial -7316","null"
"122","Polimero -Tipo -3","Prov - Industrial -7573","null"
"123","Polimero -Tipo -4","Prov - Industrial -7593","null"
"124","Polimero -Tipo -5","Prov - Industrial -1206","null"
"125","Polimero -Tipo -1","Prov - Industrial -5075","null"
"126","Polimero -Tipo -2","Prov - Industrial -4655","null"
"127","Polimero -Tipo -3","Prov - Industrial -3873","null"
"128","Polimero -Tipo -4","Prov - Industrial -2917","null"
"129","Polimero -Tipo -5","Prov - Industrial -7236","null"
"130","Polimero -Tipo -1","Prov - Industrial -2432","null"
"131","Polimero -Tipo -2","Prov - Industrial -6546","null"
"132","Polimero -Tipo -3","Prov - Industrial -3872","null"
"133","Polimero -Tipo -4","Prov - Industrial -7464","null"
"134","Polimero -Tipo -5","Prov - Industrial -7124","null"
"135","Polimero -Tipo -1","Prov - Industrial -2820","null"
"136","Polimero -Tipo -2","Prov - Industrial -7281","null"
"137","Polimero -Tipo -3","Prov - Industrial -443","null"
"138","Polimero -Tipo -4","Prov - Industrial -4536","null"
"139","Polimero -Tipo -5","Prov - Industrial -9554","null"
"140","Polimero -Tipo -1","Prov - Industrial -5232","null"
"141","Polimero -Tipo -2","Prov - Industrial -4066","null"
"142","Polimero -Tipo -3","Prov - Industrial -8013","null"
"143","Polimero -Tipo -4","Prov - Industrial -9375","null"
"144","Polimero -Tipo -5","Prov - Industrial -4666","null"
"145","Polimero -Tipo -1","Prov - Industrial -4406","null"
"146","Polimero -Tipo -2","Prov - Industrial -3180","null"
"147","Polimero -Tipo -3","Prov - Industrial -9366","null"
"148","Polimero -Tipo -4","Prov - Industrial -5410","null"
"149","Polimero -Tipo -5","Prov - Industrial -4914","null"
"150","Polimero -Tipo -1","Prov - Industrial -6000","null"
"151","Polimero -Tipo -2","Prov - Industrial -7841","null"
"152","Polimero -Tipo -3","Prov - Industrial -4243","null"
"153","Polimero -Tipo -4","Prov - Industrial -269","null"
"154","Polimero -Tipo -5","Prov - Industrial -5893","null"
"155","Polimero -Tipo -1","Prov - Industrial -7785","null"
"156","Polimero -Tipo -2","Prov - Industrial -9068","null"
"157","Polimero -Tipo -3","Prov - Industrial -9746","null"
"158","Polimero -Tipo -4","Prov - Industrial -6043","null"
"159","Polimero -Tipo -5","Prov - Industrial -1469","null"
"160","Polimero -Tipo -1","Prov - Industrial -7225","null"
"161","Polimero -Tipo -2","Prov - Industrial -1462","null"
"162","Polimero -Tipo -3","Prov - Industrial -4930","null"
"163","Polimero -Tipo -4","Prov - Industrial -8409","null"
"164","Polimero -Tipo -5","Prov - Industrial -7316","null"
"165","Polimero -Tipo -1","Prov - Industrial -5547","null"
"166","Polimero -Tipo -2","Prov - Industrial -7594","null"
"167","Polimero -Tipo -3","Prov - Industrial -6322","null"
"168","Polimero -Tipo -4","Prov - Industrial -18","null"
"169","Polimero -Tipo -5","Prov - Industrial -1866","null"
"170","Polimero -Tipo -1","Prov - Industrial -9525","null"
"171","Polimero -Tipo -2","Prov - Industrial -974","null"
"172","Polimero -Tipo -3","Prov - Industrial -2397","null"
"173","Polimero -Tipo -4","Prov - Industrial -2114","null"
"174","Polimero -Tipo -5","Prov - Industrial -8502","null"
"175","Polimero -Tipo -1","Prov - Industrial -4623","null"
"176","Polimero -Tipo -2","Prov - Industrial -6838","null"
"177","Polimero -Tipo -3","Prov - Industrial -8410","null"
"178","Polimero -Tipo -4","Prov - Industrial -4772","null"
"179","Polimero -Tipo -5","Prov - Industrial -5873","null"
"180","Polimero -Tipo -1","Prov - Industrial -2119","null"
"181","Polimero -Tipo -2","Prov - Industrial -1318","null"
"182","Polimero -Tipo -3","Prov - Industrial -5574","null"
"183","Polimero -Tipo -4","Prov - Industrial -267","null"
"184","Polimero -Tipo -5","Prov - Industrial -2337","null"
"185","Polimero -Tipo -1","Prov - Industrial -730","null"
"186","Polimero -Tipo -2","Prov - Industrial -7011","null"
"187","Polimero -Tipo -3","Prov - Industrial -4802","null"
"188","Polimero -Tipo -4","Prov - Industrial -1920","null"
"189","Polimero -Tipo -5","Prov - Industrial -7199","null"
